20
1
0,50,65,45,30,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
50,0,60,1000,1000,62,27,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
65,60,0,43,1000,1000,250,35,29,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
45,1000,43,0,90,1000,1000,1000,17,40,15,1000,1000,1000,1000,1000,1000,1000,1000,1000
30,1000,1000,90,0,1000,1000,1000,1000,1000,230,1000,1000,1000,1000,1000,1000,1000,1000,1000
1000,62,1000,1000,1000,0,25,1000,1000,1000,1000,136,1000,1000,1000,1000,1000,1000,1000,1000
1000,27,250,1000,1000,25,0,32,30,1000,1000,58,220,1000,1000,1000,1000,1000,1000,1000
1000,1000,35,1000,1000,1000,32,0,120,1000,1000,61,88,20,1000,1000,1000,1000,1000,1000
1000,1000,29,17,1000,1000,30,120,0,61,1000,1000,1000,150,60,1000,1000,1000,1000,1000
1000,1000,1000,40,1000,1000,1000,1000,61,0,32,1000,1000,1000,194,147,1000,1000,110,1000
1000,1000,1000,15,230,1000,1000,1000,1000,32,0,1000,1000,1000,1000,130,1000,1000,1000,1000
1000,1000,1000,1000,1000,136,58,61,1000,1000,1000,0,144,1000,1000,1000,161,1000,1000,1000
1000,1000,1000,1000,1000,1000,220,88,1000,1000,1000,144,0,24,1000,1000,1000,1000,1000,1000
1000,1000,1000,1000,1000,1000,1000,20,150,1000,1000,1000,24,0,40,1000,1000,72,1000,22
1000,1000,1000,1000,1000,1000,1000,1000,60,194,1000,1000,1000,40,0,77,1000,1000,14,220
1000,1000,1000,1000,1000,1000,1000,1000,1000,147,130,1000,1000,1000,77,0,1000,1000,89,1000
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,161,71,1000,1000,1000,0,26,1000,1000
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,54,72,1000,1000,26,0,1000,16
1000,1000,1000,1000,1000,1000,1000,1000,1000,110,1000,1000,1000,1000,14,89,1000,1000,0,72
1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,22,220,1000,1000,16,72,0
